Threat_ShortTitle,Threat_Category,Threat_Description,Candidate_62443_ID,MappingBasis,RuleClassesHit,62443_ID,IEC_Title,IEC_Description
Spoofing (v3),S,Threat was migrated from V3.,CR 1.1,Rule(Title/Description),authn_spoofing,CR 1.1,Human user identification and authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.1 RE (1),Rule(Title/Description),authn_spoofing,CR 1.1 RE (1),Unique identification and authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.1 RE (2),Rule(Title/Description),authn_spoofing,CR 1.1 RE (2),Multifactor authentication for all interfaces,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.14,Rule(Title/Description),authn_spoofing,CR 1.14,Strength of symmetric key-based authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.14 RE (1),Rule(Title/Description),authn_spoofing,CR 1.14 RE (1),Hardware security for symmetric key-based authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.2,Rule(Title/Description),authn_spoofing,CR 1.2,Software process and device identification and authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.2 RE (1),Rule(Title/Description),authn_spoofing,CR 1.2 RE (1),Unique identification and authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.7,Rule(Title/Description),authn_spoofing,CR 1.7,Strength of password-based authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.9,Rule(Title/Description),authn_spoofing,CR 1.9,Strength of public key-based authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 1.9 RE (1),Rule(Title/Description),authn_spoofing,CR 1.9 RE (1),Hardware security for public key-based authentication,1
Spoofing (v3),S,Threat was migrated from V3.,CR 3.1 RE (1),Rule(Title/Description),authn_spoofing,CR 3.1 RE (1),Communication authentication,3
Spoofing (v3),S,Threat was migrated from V3.,FR 1,Rule(Title/Description),authn_spoofing,FR 1,Identification and authentication control (IAC),1
Spoofing (v3),S,Threat was migrated from V3.,NDR 1.6 RE (1),Rule(Title/Description),authn_spoofing,NDR 1.6 RE (1),Unique identification and authentication,1
SSH Spoofing {target.Name},S,{target.Name} may be spoofed by an attacker and this may lead to information disclosure by {source.Name}.  Default usage of SSH does little to preclude spoofing on the initial connection.  Subsequent connections use the known_hosts mechanism.  Consider pre-populating the known_hosts file with the correct public key.,CR 1.1,Rule(Title/Description),authn_spoofing,CR 1.1,Human user identification and authentication,1
